playerid,Name,Team,W,L,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,WHIP,FIP,xFIP,WAR
10954,Jacob deGrom,Mets,10,9,32,32,217,11.16,1.91,0.41,0.281,82.0 %,46.4 %,6.3 %,1.7,0.91,1.99,2.6,9
13543,Blake Snell,Rays,21,5,31,31,180.2,11.01,3.19,0.8,0.241,88.0 %,44.7 %,10.7 %,1.89,0.97,2.95,3.16,4.8
14444,Hyun-Jin Ryu,Dodgers,7,3,15,15,82.1,9.73,1.64,0.98,0.281,85.4 %,45.8 %,11.8 %,1.97,1.01,3,3.11,1.9
3543,Clay Buchholz,Diamondbacks,7,2,16,16,98.1,7.41,2.01,0.82,0.255,86.6 %,42.6 %,8.7 %,2.01,1.04,3.47,4.01,1.7
10603,Chris Sale,Red Sox,12,4,27,27,158,13.5,1.94,0.63,0.283,82.5 %,44.2 %,9.3 %,2.11,0.86,1.98,2.31,6.2
12703,Trevor Bauer,Indians,12,6,27,27,171.1,11.5,2.99,0.47,0.301,79.3 %,44.1 %,6.3 %,2.26,1.1,2.44,3.14,5.7
19374,Walker Buehler,Dodgers,8,4,23,23,136.1,9.97,2.38,0.73,0.241,80.6 %,50.3 %,10.4 %,2.31,0.92,2.92,3.15,3.2
16149,Aaron Nola,Phillies,17,6,33,33,212.1,9.49,2.46,0.72,0.251,82.5 %,50.6 %,10.6 %,2.37,0.97,3.01,3.21,5.4
8700,Justin Verlander,Astros,16,9,34,34,214,12.2,1.56,1.18,0.272,85.3 %,29.1 %,11.1 %,2.52,0.9,2.78,3.03,6.7
3137,Max Scherzer,Nationals,18,7,33,33,220.2,12.24,2.08,0.94,0.265,81.3 %,34.3 %,9.7 %,2.53,0.91,2.65,3.06,7.4
8779,Wade Miley,Brewers,5,2,16,16,80.2,5.58,3.01,0.33,0.269,75.9 %,52.8 %,5.2 %,2.57,1.21,3.59,4.3,1.4
2036,Clayton Kershaw,Dodgers,9,5,26,26,161.1,8.65,1.62,0.95,0.273,78.7 %,47.9 %,12.7 %,2.73,1.04,3.19,3.19,3.3
9803,Miles Mikolas,Cardinals,18,4,32,32,200.2,6.55,1.3,0.72,0.279,76.2 %,49.3 %,9.2 %,2.83,1.07,3.28,3.67,4.3
16256,Kyle Freeland,Rockies,17,7,33,33,202.1,7.7,3.11,0.76,0.285,82.8 %,46.0 %,8.5 %,2.85,1.25,3.67,4.22,4.2
10811,Mike Foltynewicz,Braves,13,10,31,31,183,9.93,3.34,0.84,0.251,77.1 %,43.1 %,9.6 %,2.85,1.08,3.37,3.77,3.8
13125,Gerrit Cole,Astros,15,5,32,32,200.1,12.4,2.88,0.85,0.286,77.9 %,36.0 %,10.0 %,2.88,1.03,2.7,3.04,6
2429,Corey Kluber,Indians,20,7,33,33,215,9.29,1.42,1.05,0.276,77.9 %,44.4 %,13.1 %,2.89,0.99,3.12,3.08,5.5
14509,Dereck Rodriguez,Giants,5,4,19,19,112,6.59,2.65,0.72,0.257,78.1 %,39.6 %,7.4 %,2.89,1.13,3.81,4.57,1.6
3284,Anibal Sanchez,Braves,7,6,24,24,133.2,8.96,2.63,1.01,0.258,78.7 %,45.5 %,11.4 %,2.9,1.08,3.59,3.77,2.5
12808,Mike Clevinger,Indians,13,8,32,32,200,9.32,3.02,0.95,0.28,79.8 %,40.5 %,10.2 %,3.02,1.16,3.52,3.86,4.2
11762,Noah Syndergaard,Mets,13,4,25,25,154.1,9.04,2.27,0.52,0.32,76.6 %,49.0 %,7.8 %,3.03,1.21,2.8,3.29,4.2
16977,Trevor Williams,Pirates,14,10,31,31,170.2,6.64,2.9,0.79,0.261,76.6 %,40.8 %,8.0 %,3.11,1.18,3.86,4.54,2.7
4676,Charlie Morton,Astros,15,3,30,30,167,10.83,3.45,0.97,0.283,79.6 %,47.4 %,14.5 %,3.13,1.16,3.59,3.42,2.9
9323,Patrick Corbin,Diamondbacks,11,7,33,33,200,11.07,2.16,0.68,0.302,74.7 %,48.5 %,11.1 %,3.15,1.05,2.47,2.61,5.9
14078,Michael Wacha,Cardinals,8,2,15,15,84.1,7.58,3.84,0.96,0.249,75.0 %,43.2 %,13.6 %,3.2,1.23,4.22,4.12,0.8
11674,Jameson Taillon,Pirates,14,10,32,32,191,8.43,2.17,0.94,0.298,79.8 %,46.2 %,11.7 %,3.2,1.18,3.46,3.58,3.8
1943,Zack Greinke,Diamondbacks,15,11,33,33,207.2,8.62,1.86,1.21,0.272,80.2 %,45.1 %,15.0 %,3.21,1.08,3.71,3.44,2.9
6893,Johnny Cueto,Giants,3,2,9,9,53,6.45,2.21,1.36,0.253,85.2 %,43.5 %,14.0 %,3.23,1.11,4.71,4.52,0.2
5524,Madison Bumgarner,Giants,6,7,21,21,129.2,7.57,2.98,0.97,0.274,78.6 %,42.7 %,10.3 %,3.26,1.24,3.99,4.32,1.4
15734,Brad Keller,Royals,8,5,20,20,118,6.33,3.28,0.46,0.306,76.0 %,52.9 %,6.0 %,3.28,1.35,3.56,4.3,2.3
10310,Zack Wheeler,Mets,12,7,29,29,182.1,8.84,2.71,0.69,0.279,74.6 %,44.2 %,8.1 %,3.31,1.12,3.25,3.81,4.2
7754,Mike Fiers,- - -,12,7,30,30,168.2,7.26,1.97,1.6,0.265,85.7 %,39.9 %,13.6 %,3.31,1.16,4.64,4.49,1.6
19755,Shohei Ohtani,Angels,4,2,10,10,51.2,10.97,3.83,1.05,0.269,79.9 %,39.2 %,13.0 %,3.31,1.16,3.57,3.53,1
4930,Jon Lester,Cubs,18,6,32,32,181.2,7.38,3.17,1.19,0.29,80.3 %,37.7 %,12.4 %,3.32,1.31,4.39,4.43,1.9
1841,Edwin Jackson,Athletics,6,3,17,17,92,6.65,3.62,1.17,0.24,79.2 %,36.4 %,11.2 %,3.33,1.22,4.65,4.88,0.8
6632,Carlos Carrasco,Indians,16,9,30,30,186.2,10.66,1.88,1.01,0.314,75.3 %,46.5 %,13.2 %,3.33,1.11,2.98,2.92,5
17479,Jack Flaherty,Cardinals,8,9,28,28,151,10.85,3.52,1.19,0.257,79.3 %,42.1 %,15.2 %,3.34,1.11,3.86,3.58,2.4
13273,Ross Stripling,Dodgers,8,6,21,21,106.1,10.07,1.35,1.52,0.324,84.5 %,46.4 %,19.1 %,3.39,1.18,3.6,2.86,1.7
15890,Luis Severino,Yankees,19,8,32,32,191.1,10.35,2.16,0.89,0.314,75.0 %,41.1 %,11.4 %,3.39,1.14,2.95,3.1,5.5
11682,Carlos Martinez,Cardinals,6,6,18,18,100.1,8.79,4.4,0.45,0.298,73.2 %,49.6 %,5.7 %,3.41,1.38,3.65,4.45,1.8
18356,Jaime Barria,Angels,10,9,26,26,129.1,6.82,3.27,1.18,0.271,82.1 %,37.1 %,10.2 %,3.41,1.27,4.58,4.99,1.3
12049,Kyle Hendricks,Cubs,14,11,33,33,199,7.28,1.99,0.99,0.281,75.2 %,47.0 %,12.0 %,3.44,1.15,3.78,3.87,3.5
4371,Jeremy Hellickson,Nationals,5,3,19,19,91.1,6.41,1.97,1.08,0.252,71.7 %,45.9 %,12.4 %,3.45,1.07,4.22,4.27,1.2
2608,Jhoulys Chacin,Brewers,15,8,35,35,192.2,7.29,3.32,0.84,0.25,72.5 %,42.2 %,9.3 %,3.5,1.16,4.03,4.47,2.4
3184,David Price,Red Sox,16,7,30,30,176,9.05,2.56,1.28,0.274,77.3 %,40.1 %,13.2 %,3.58,1.14,4.02,3.95,2.4
15873,Sean Manaea,Athletics,12,9,27,27,160.2,6.05,1.79,1.18,0.247,75.2 %,44.0 %,12.3 %,3.59,1.08,4.26,4.32,1.9
13684,John Gant,Cardinals,5,6,19,19,97.1,7.49,4.44,0.74,0.258,71.3 %,44.4 %,8.8 %,3.61,1.3,4.11,4.58,1.1
10123,Kyle Gibson,Twins,10,13,32,32,196.2,8.19,3.62,1.05,0.285,75.5 %,49.8 %,14.8 %,3.62,1.3,4.13,3.91,2.8
5221,Wade LeBlanc,Mariners,9,5,27,27,148.1,7.16,2.24,1.33,0.267,74.7 %,36.6 %,11.8 %,3.64,1.16,4.29,4.44,1.6
404,CC Sabathia,Yankees,9,7,29,29,153,8.24,3,1.12,0.295,75.5 %,44.4 %,11.7 %,3.65,1.31,4.16,4.3,2.4
7410,J.A. Happ,- - -,17,6,31,31,177.2,9.78,2.58,1.37,0.272,74.9 %,40.1 %,13.4 %,3.65,1.13,3.98,3.88,3
13781,Alex Wood,Dodgers,8,7,27,27,148,7.97,2.37,0.85,0.295,71.1 %,49.2 %,11.2 %,3.65,1.22,3.55,3.72,2.3
9784,Garrett Richards,Angels,5,4,16,16,76.1,10.26,4.01,1.3,0.277,67.0 %,49.3 %,17.5 %,3.66,1.28,4.13,3.62,1
4141,Derek Holland,Giants,7,9,30,30,161.2,8.52,3.56,1,0.287,75.2 %,39.6 %,10.8 %,3.67,1.31,3.96,4.21,2.1
4869,Mike Montgomery,Cubs,5,5,19,19,97.2,6.45,2.58,0.74,0.312,74.9 %,48.2 %,9.4 %,3.69,1.35,3.84,4.21,1.5
4806,Rich Hill,Dodgers,11,5,24,24,131.2,10.12,2.67,1.37,0.269,77.2 %,39.1 %,14.8 %,3.69,1.12,3.96,3.68,1.7
9434,Dallas Keuchel,Astros,12,11,34,34,204.2,6.73,2.55,0.79,0.3,72.8 %,53.7 %,11.3 %,3.74,1.31,3.69,3.84,3.3
10131,Stephen Strasburg,Nationals,10,7,22,22,130,10.8,2.63,1.25,0.309,75.7 %,43.6 %,15.7 %,3.74,1.2,3.62,3.28,2.3
15764,Masahiro Tanaka,Yankees,12,6,27,27,156,9.17,2.02,1.44,0.284,77.7 %,47.2 %,17.7 %,3.75,1.13,4.01,3.42,2.6
11828,James Paxton,Mariners,11,6,28,28,160.1,11.68,2.36,1.29,0.299,76.0 %,39.6 %,14.4 %,3.76,1.1,3.24,3.02,3.7
15038,German Marquez,Rockies,14,11,33,33,196,10.56,2.62,1.1,0.311,73.2 %,47.3 %,15.7 %,3.77,1.2,3.4,3.1,4.2
9132,Nathan Eovaldi,- - -,6,7,21,21,107.1,8.13,1.51,1.17,0.286,67.7 %,46.3 %,12.6 %,3.77,1.12,3.64,3.65,2.1
4972,Cole Hamels,- - -,9,12,32,32,190.2,8.87,3.07,1.37,0.291,76.1 %,45.0 %,17.5 %,3.78,1.26,4.49,3.95,2.2
13164,Eduardo Rodriguez,Red Sox,12,4,23,23,123.1,10,3.14,1.09,0.302,77.1 %,39.5 %,10.9 %,3.79,1.27,3.66,3.92,2
14168,Jose Berrios,Twins,12,11,32,32,192.1,9.45,2.85,1.17,0.27,75.8 %,41.5 %,12.8 %,3.84,1.14,3.9,3.89,3.3
18498,Kenta Maeda,Dodgers,6,7,20,20,107.2,10.62,3.34,0.92,0.309,72.0 %,40.3 %,11.1 %,3.85,1.27,3.3,3.49,2
16350,Ryan Borucki,Blue Jays,4,6,17,17,97.2,6.17,3.04,0.65,0.291,68.5 %,46.8 %,6.7 %,3.87,1.32,3.8,4.62,1.6
6249,Trevor Cahill,Athletics,6,4,20,20,106,8.32,3.4,0.68,0.284,67.3 %,53.7 %,10.5 %,3.91,1.22,3.54,3.74,2
